effective_date,source_url,price_image_url,ron95_vung1
5/23/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-23-5-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/2ea1dc48e65948a9b090d58fd896094b/Gia%2023.5.2022.JPG,30 650
6/1/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-01-6-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/fd524ecf9c884c9b91e1ed463140b6e9/Gia%2001.6.2022.JPG,31 570
6/13/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-13-6-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/e61443cfbc5042a3a73adcaaaff431b9/Gia%2013.6.2022.JPG,32 370
6/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-6-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/47a2826186e54b46a20c73998fcba119/Gia%2021.6.2022.png,32 870
7/1/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-01-7-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/68fcf9bf257745b4a1c36a790ac31235/Gia%2001.7.2022.JPG,32 760
7/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-00-gio-00-ngay-11-7-2022.html,https://files.petrolimex.com.vn/pngs/6783dc1271ff449e95b74a9520964169/c0ca1c1eb3a84f618e9876c628398cda/Gia%2011.7.2022.png,29 670
7/21/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-21-7-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/8faeb5f7e1ee4c3dbe2af76a3288b29e/Gia%2021.7.2022.JPG,26 070
8/1/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-01-8-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/08722efd0c27402e9c0a19f757dd93af/Gia%2001.8.2022.JPG,25 600
8/11/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-11-8-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/7945ddafcd294de68003fd2b7f1c285e/2022-08-11_14-30-29.jpg,24 660
8/22/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-22-8-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/c5461c37686749a8b55910d34a3fe17a/Gia%2022.8.2022.JPG,24 660
9/5/2022,https://www.petrolimex.com.vn/ndi/thong-cao-bao-chi/petrolimex-dieu-chinh-gia-xang-dau-tu-15-gio-00-ngay-05-9-2022.html,https://files.petrolimex.com.vn/jpgs/6783dc1271ff449e95b74a9520964169/0460a965d99449bb8587a3c06b7a986a/Gia%2005.9.2022.JPG,24 230
